# Q (A^-1),  R, RQ^4 (A^-4)
5.0933e-02 1.4423e-03 9.7064e-09
5.1232e-02 1.3799e-03 9.5065e-09
5.1531e-02 1.3210e-03 9.3151e-09
5.1830e-02 1.2656e-03 9.1330e-09
5.2129e-02 1.2134e-03 8.9605e-09
5.2428e-02 1.1645e-03 8.7984e-09
5.2727e-02 1.1187e-03 8.6468e-09
5.3026e-02 1.0759e-03 8.5062e-09
5.3325e-02 1.0360e-03 8.3768e-09
5.3624e-02 9.9881e-04 8.2588e-09
5.3923e-02 9.6423e-04 8.1523e-09
5.4222e-02 9.3214e-04 8.0572e-09
5.4521e-02 9.0240e-04 7.9736e-09
5.4820e-02 8.7488e-04 7.9014e-09
5.5119e-02 8.4944e-04 7.8404e-09
5.5418e-02 8.2595e-04 7.7904e-09
5.5717e-02 8.0428e-04 7.7510e-09
5.6016e-02 7.8430e-04 7.7220e-09
5.6315e-02 7.6588e-04 7.7030e-09
5.6614e-02 7.4890e-04 7.6934e-09
5.6913e-02 7.3324e-04 7.6930e-09
5.7212e-02 7.1879e-04 7.7010e-09
5.7511e-02 7.0542e-04 7.7171e-09
5.7810e-02 6.9304e-04 7.7405e-09
5.8109e-02 6.8153e-04 7.7707e-09
5.8408e-02 6.7081e-04 7.8071e-09
5.8707e-02 6.6078e-04 7.8490e-09
5.9006e-02 6.5135e-04 7.8958e-09
5.9305e-02 6.4244e-04 7.9469e-09
5.9604e-02 6.3397e-04 8.0015e-09
5.9903e-02 6.2587e-04 8.0589e-09
6.0202e-02 6.1808e-04 8.1187e-09
6.0501e-02 6.1053e-04 8.1800e-09
6.0800e-02 6.0317e-04 8.2424e-09
6.1099e-02 5.9594e-04 8.3050e-09
6.1398e-02 5.8882e-04 8.3675e-09
6.1697e-02 5.8174e-04 8.4292e-09
6.1996e-02 5.7468e-04 8.4895e-09
6.2295e-02 5.6760e-04 8.5479e-09
6.2594e-02 5.6049e-04 8.6039e-09
6.2893e-02 5.5331e-04 8.6572e-09
6.3192e-02 5.4604e-04 8.7072e-09
6.3491e-02 5.3868e-04 8.7535e-09
6.3790e-02 5.3121e-04 8.7958e-09
6.4089e-02 5.2362e-04 8.8339e-09
6.4388e-02 5.1591e-04 8.8673e-09
6.4687e-02 5.0807e-04 8.8959e-09
6.4986e-02 5.0010e-04 8.9194e-09
6.5285e-02 4.9201e-04 8.9378e-09
6.5584e-02 4.8380e-04 8.9508e-09
6.5883e-02 4.7548e-04 8.9583e-09
6.6182e-02 4.6705e-04 8.9604e-09
6.6481e-02 4.5853e-04 8.9570e-09
6.6780e-02 4.4993e-04 8.9480e-09
6.7079e-02 4.4125e-04 8.9336e-09
6.7378e-02 4.3251e-04 8.9139e-09
6.7677e-02 4.2372e-04 8.8888e-09
6.7976e-02 4.1490e-04 8.8587e-09
6.8275e-02 4.0607e-04 8.8236e-09
6.8574e-02 3.9723e-04 8.7837e-09
6.8873e-02 3.8840e-04 8.7392e-09
6.9172e-02 3.7959e-04 8.6904e-09
6.9471e-02 3.7083e-04 8.6375e-09
6.9770e-02 3.6212e-04 8.5808e-09
7.0069e-02 3.5348e-04 8.5206e-09
7.0368e-02 3.4492e-04 8.4571e-09
7.0667e-02 3.3646e-04 8.3907e-09
7.0966e-02 3.2810e-04 8.3217e-09
7.1265e-02 3.1986e-04 8.2503e-09
7.1564e-02 3.1175e-04 8.1769e-09
7.1863e-02 3.0378e-04 8.1018e-09
7.2162e-02 2.9596e-04 8.0254e-09
7.2461e-02 2.8829e-04 7.9479e-09
7.2760e-02 2.8079e-04 7.8697e-09
7.3059e-02 2.7346e-04 7.7910e-09
7.3358e-02 2.6631e-04 7.7122e-09
7.3657e-02 2.5934e-04 7.6336e-09
7.3956e-02 2.5256e-04 7.5554e-09
7.4255e-02 2.4597e-04 7.4779e-09
7.4554e-02 2.3957e-04 7.4013e-09
7.4853e-02 2.3336e-04 7.3260e-09
7.5152e-02 2.2735e-04 7.2520e-09
7.5451e-02 2.2154e-04 7.1797e-09
7.5750e-02 2.1592e-04 7.1091e-09
7.6049e-02 2.1049e-04 7.0406e-09
7.6348e-02 2.0526e-04 6.9742e-09
7.6647e-02 2.0022e-04 6.9101e-09
7.6946e-02 1.9536e-04 6.8484e-09
7.7245e-02 1.9069e-04 6.7892e-09
7.7544e-02 1.8620e-04 6.7326e-09
7.7843e-02 1.8189e-04 6.6786e-09
7.8142e-02 1.7775e-04 6.6274e-09
7.8441e-02 1.7377e-04 6.5789e-09
7.8740e-02 1.6996e-04 6.5332e-09
7.9039e-02 1.6630e-04 6.4902e-09
7.9338e-02 1.6279e-04 6.4500e-09
7.9637e-02 1.5943e-04 6.4124e-09
7.9936e-02 1.5620e-04 6.3776e-09
8.0235e-02 1.5311e-04 6.3453e-09
8.0534e-02 1.5014e-04 6.3156e-09
8.0833e-02 1.4729e-04 6.2884e-09
8.1132e-02 1.4456e-04 6.2635e-09
